workerId,comment,answer_f,answer_m,race,age,gender,political
ym4hDBIT,116,0.28,,Black,48,Female,Democrat
ym4hDBIT,93,0.15,,Black,48,Female,Democrat
ym4hDBIT,7,0.09,,Black,48,Female,Democrat
ym4hDBIT,14,0,,Black,48,Female,Democrat
ym4hDBIT,103,0.07,,Black,48,Female,Democrat
ym4hDBIT,15,0.75,,Black,48,Female,Democrat
ym4hDBIT,4,0,,Black,48,Female,Democrat
ym4hDBIT,63,0.15,,Black,48,Female,Democrat
ym4hDBIT,43,0.97,,Black,48,Female,Democrat
ym4hDBIT,114,0.49,,Black,48,Female,Democrat
ym4hDBIT,10,0.7,,Black,48,Female,Democrat
ym4hDBIT,2,0,,Black,48,Female,Democrat
ym4hDBIT,100,0.04,,Black,48,Female,Democrat
ym4hDBIT,117,0.19,,Black,48,Female,Democrat
ym4hDBIT,16,0.53,,Black,48,Female,Democrat
ym4hDBIT,95,0.07,,Black,48,Female,Democrat
ym4hDBIT,110,0.98,,Black,48,Female,Democrat
ym4hDBIT,3,0,,Black,48,Female,Democrat
ym4hDBIT,58,1,,Black,48,Female,Democrat
ym4hDBIT,9,0,,Black,48,Female,Democrat
ym4hDBIT,89,0.08,,Black,48,Female,Democrat
ym4hDBIT,54,0.99,,Black,48,Female,Democrat
ym4hDBIT,33,0.58,,Black,48,Female,Democrat
ym4hDBIT,36,0.95,,Black,48,Female,Democrat
YpEiFoQw,115,0.55,,White,27,Male,Democrat
YpEiFoQw,25,0.37,,White,27,Male,Democrat
YpEiFoQw,33,0.9,,White,27,Male,Democrat
YpEiFoQw,2,0.1,,White,27,Male,Democrat
YpEiFoQw,4,0,,White,27,Male,Democrat
YpEiFoQw,30,0.45,,White,27,Male,Democrat
YpEiFoQw,43,0.9,,White,27,Male,Democrat
YpEiFoQw,44,0.9,,White,27,Male,Democrat
YpEiFoQw,5,0.05,,White,27,Male,Democrat
YpEiFoQw,46,1,,White,27,Male,Democrat
YpEiFoQw,27,0.25,,White,27,Male,Democrat
YpEiFoQw,16,0.25,,White,27,Male,Democrat
YpEiFoQw,71,0.16,,White,27,Male,Democrat
YpEiFoQw,92,0.81,,White,27,Male,Democrat
YpEiFoQw,116,0.99,,White,27,Male,Democrat
YpEiFoQw,61,0.1,,White,27,Male,Democrat
YpEiFoQw,114,0.15,,White,27,Male,Democrat
YpEiFoQw,9,0.1,,White,27,Male,Democrat
YpEiFoQw,41,0.68,,White,27,Male,Democrat
YpEiFoQw,95,0.25,,White,27,Male,Democrat
YpEiFoQw,11,0.4,,White,27,Male,Democrat
YpEiFoQw,23,0.75,,White,27,Male,Democrat
YpEiFoQw,76,0.55,,White,27,Male,Democrat
YpEiFoQw,56,0.89,,White,27,Male,Democrat
vvJSfql4,64,0,,White,43,Male,Democrat
vvJSfql4,57,0.68,,White,43,Male,Democrat
vvJSfql4,65,0,,White,43,Male,Democrat
vvJSfql4,50,0.68,,White,43,Male,Democrat
vvJSfql4,92,0.06,,White,43,Male,Democrat
vvJSfql4,93,0.28,,White,43,Male,Democrat
vvJSfql4,72,0,,White,43,Male,Democrat
vvJSfql4,53,0.98,,White,43,Male,Democrat
vvJSfql4,90,0.05,,White,43,Male,Democrat
vvJSfql4,104,0.18,,White,43,Male,Democrat
vvJSfql4,38,1,,White,43,Male,Democrat
vvJSfql4,71,0,,White,43,Male,Democrat
vvJSfql4,15,0.05,,White,43,Male,Democrat
vvJSfql4,9,0,,White,43,Male,Democrat
vvJSfql4,46,1,,White,43,Male,Democrat
vvJSfql4,23,0.15,,White,43,Male,Democrat
vvJSfql4,116,1,,White,43,Male,Democrat
vvJSfql4,82,0.04,,White,43,Male,Democrat
vvJSfql4,102,0.56,,White,43,Male,Democrat
vvJSfql4,97,0.58,,White,43,Male,Democrat
vvJSfql4,48,1,,White,43,Male,Democrat
vvJSfql4,55,1,,White,43,Male,Democrat
vvJSfql4,35,1,,White,43,Male,Democrat
vvJSfql4,59,0.58,,White,43,Male,Democrat
XL2hPsPW,19,0,,Asian,35,Male,Democrat
XL2hPsPW,24,0.85,,Asian,35,Male,Democrat
XL2hPsPW,45,0.25,,Asian,35,Male,Democrat
