comment,answer
116,0.28
93,0.15
7,0.09
14,0.0
103,0.07
15,0.75
4,0.0
63,0.15
43,0.97
114,0.49
10,0.7
2,0.0
100,0.04
117,0.19
16,0.53
95,0.07
110,0.98
3,0.0
58,1.0
9,0.0
89,0.08
54,0.99
33,0.58
36,0.95
52,1.0
49,0.99
50,0.97
62,0.04
54,0.88
55,0.98
11,0.75
0,0.0
69,0.0
15,0.14
102,0.77
24,0.87
80,0.24
53,0.97
46,0.99
116,0.97
82,0.46
38,0.87
110,0.47
79,0.03
96,0.04
84,0.05
71,0.03
32,0.25
101,0.98
8,0.0
47,1.0
63,0.65
73,0.7
104,1.0
64,0.0
44,1.0
117,1.0
68,1.0
13,0.75
110,0.95
26,0.95
92,0.8
116,1.0
4,0.0
37,1.0
9,0.0
91,0.8
50,1.0
29,0.45
109,0.98
95,0.87
111,0.97
30,0.8
97,0.1
84,0.02
27,0.0
47,0.99
90,0.18
112,0.09
109,0.24
54,0.9
71,0.02
92,0.59
32,0.8
113,0.42
83,0.0
64,0.0
17,0.43
106,0.04
8,0.0
50,0.88
56,1.0
78,0.01
53,0.97
20,0.0
96,0.0
19,0.15
104,0.57
4,0.0
81,0.45
1,0.0
6,0.0
80,0.15
97,1.0
95,0.75
24,0.55
10,0.05
17,0.15
30,0.95
71,0.05
62,0.0
32,0.25
117,0.95
54,0.85
69,0.01
79,0.05
25,0.45
37,0.75
99,0.05
22,0.05
98,0.19
3,0.02
41,0.47
24,0.22
76,0.13
86,0.27
30,0.8
108,0.32
42,0.9
52,0.97
26,0.08
60,0.0
53,1.0
13,0.13
114,0.41
32,0.23
0,0.0
80,0.09
84,0.02
74,0.05
18,0.0
116,1.0
62,0.0
34,0.99
11,0.55
114,0.8
90,0.38
64,0.12
15,0.49
31,0.97
0,0.08
113,0.69
70,0.37
71,0.05
91,0.69
40,1.0
24,0.89
53,0.99
86,0.5
116,1.0
111,0.89
76,0.9
39,0.78
118,1.0
80,0.49
25,0.79
32,0.79
49,0.99
38,0.79
49,0.81
111,0.71
23,0.7
105,0.05
112,0.43
97,0.95
96,0.31
24,0.8
118,0.85
1,0.2
62,0.01
95,0.05
109,0.7
110,0.5
34,0.8
74,0.21
0,0.02
102,0.1
30,0.65
54,0.99
39,0.89
115,0.25
113,0.95
15,0.05
69,0.55
1,0.05
111,0.05
8,0.05
62,0.05
78,0.55
10,0.85
85,0.05
60,0.0
30,0.95
95,0.15
6,0.05
19,0.15
81,0.05
27,0.45
44,0.95
51,0.95
97,0.65
52,0.95
80,0.05
34,0.95
79,0.05
23,0.85
15,0.04
76,0.68
70,0.04
12,0.0
57,1.0
41,0.9
82,0.22
91,0.9
30,0.77
116,1.0
110,0.93
19,0.2
113,0.97
92,0.13
104,0.63
86,0.24
95,0.08
84,0.16
108,0.8
7,0.0
5,0.0
23,0.77
64,0.0
40,1.0
5,0.0
38,0.55
93,0.34
76,0.17
72,0.17
88,0.06
87,0.37
91,0.47
10,0.36
90,0.67
67,0.06
39,0.46
117,0.76
66,0.0
60,0.0
14,0.33
82,0.07
37,0.47
56,0.88
49,0.78
35,0.38
48,0.86
40,0.68
92,0.07
112,0.0
20,0.04
54,0.99
95,0.86
105,0.17
1,0.0
56,0.74
78,0.97
101,0.98
0,0.0
30,0.63
53,1.0
57,0.98
52,1.0
75,0.01
13,0.06
40,1.0
84,0.0
15,0.34
25,0.88
102,0.79
72,0.0
111,0.04
88,0.66
48,0.95
3,0.05
61,0.0
55,0.91
2,0.0
58,0.88
59,0.77
85,0.37
43,0.88
67,0.0
42,0.76
96,0.3
44,0.85
4,0.11
9,0.0
45,0.53
33,0.78
6,0.0
27,0.26
10,0.0
56,0.86
100,0.77
65,0.05
28,0.66
108,0.89
10,0.0
45,1.0
113,1.0
16,0.0
28,1.0
54,1.0
13,0.05
12,0.0
64,0.0
4,0.0
24,1.0
99,1.0
29,0.15
40,1.0
22,0.47
18,0.05
26,0.15
119,1.0
118,0.55
93,0.9
72,0.0
89,0.99
71,0.0
1,0.0
66,0.0
62,0.05
33,0.9
22,0.5
26,0.3
89,0.1
88,0.85
32,0.05
87,0.9
118,0.9
38,0.1
31,1.0
44,0.9
50,1.0
58,1.0
81,0.1
115,0.95
4,0.0
103,0.59
75,0.8
40,0.95
116,1.0
7,0.0
111,0.25
91,0.25
69,0.15
59,1.0
1,0.05
113,0.62
118,0.95
44,0.25
12,0.0
64,0.0
110,0.15
27,0.25
32,0.75
104,0.45
11,0.6
83,0.35
18,0.45
102,0.45
13,0.15
106,0.44
90,0.05
20,0.0
78,0.25
25,0.45
61,0.05
105,0.48
29,0.25
103,0.35
74,0.2
116,0.92
26,0.65
5,0.0
106,0.75
87,0.75
38,0.85
107,0.65
67,0.15
2,0.03
77,0.35
19,0.45
48,0.78
1,0.03
31,0.55
113,0.55
99,0.55
65,0.05
100,0.75
84,0.15
56,0.85
99,0.05
35,0.85
118,0.25
31,0.95
47,1.0
107,0.02
91,0.05
100,0.15
85,0.0
15,0.05
10,0.67
69,0.01
83,0.0
74,0.0
80,0.25
59,0.85
21,0.0
36,0.85
57,0.35
2,0.0
87,0.01
42,0.85
54,0.21
79,0.2
41,0.95
50,1.0
31,1.0
55,1.0
5,0.0
106,0.75
30,0.95
0,0.0
78,0.6
1,0.0
27,0.9
18,0.45
76,0.75
23,1.0
47,1.0
92,0.75
49,1.0
52,1.0
72,0.05
105,0.8
84,0.7
108,0.8
90,0.45
96,0.55
92,0.7
39,0.81
95,0.51
1,0.0
41,0.85
104,0.6
55,1.0
44,0.9
17,0.85
90,0.51
40,1.0
101,0.81
106,0.58
102,0.65
38,0.85
30,0.85
25,0.7
75,0.65
49,0.95
113,0.85
64,0.0
72,0.35
24,0.8
97,0.85
30,0.95
85,0.05
56,0.95
96,0.75
116,0.95
19,0.15
57,0.95
82,0.65
5,0.0
49,0.95
79,0.15
80,0.95
86,0.75
113,0.95
20,0.85
104,0.35
55,0.95
81,0.05
64,0.0
34,0.95
47,0.95
46,0.95
88,0.35
26,0.5
22,0.12
81,0.15
21,0.25
0,0.1
62,0.02
35,1.0
77,0.12
87,0.34
108,0.67
91,0.25
11,0.05
58,0.99
10,0.05
79,0.03
83,0.02
9,0.0
29,0.47
57,1.0
12,0.0
98,0.65
66,0.16
63,0.33
94,0.02
61,0.0
6,0.0
5,0.0
100,0.45
97,0.95
81,0.65
9,0.0
16,0.15
93,0.75
90,0.25
56,0.95
86,0.95
10,0.35
36,0.95
101,0.95
37,0.95
63,0.0
51,0.85
89,0.05
65,0.0
116,0.95
15,0.0
28,0.85
106,0.85
105,0.58
72,0.01
62,0.0
97,0.61
110,0.69
68,0.11
5,0.0
61,0.0
75,0.7
34,1.0
114,0.31
100,0.88
37,0.85
117,1.0
43,1.0
24,0.58
107,0.89
60,0.0
46,1.0
88,0.55
66,0.0
57,1.0
54,1.0
111,0.7
81,0.65
64,0.0
13,0.58
71,0.0
59,1.0
30,1.0
15,0.45
8,0.0
84,0.46
56,0.99
80,0.99
111,0.95
7,0.03
83,0.08
85,0.05
90,0.54
104,0.34
27,0.34
32,0.08
62,0.0
91,0.95
5,0.01
17,0.32
41,0.99
30,0.98
83,0.42
90,0.81
69,0.05
79,0.51
49,0.98
28,0.96
62,0.1
36,0.95
88,0.6
95,0.81
94,0.5
4,0.24
80,0.55
6,0.05
13,0.65
97,0.45
81,0.9
1,0.41
108,0.9
104,0.75
10,0.95
3,0.55
19,0.49
12,0.0
99,0.05
24,0.08
59,0.2
5,0.0
57,0.99
98,0.1
94,0.2
62,0.0
43,0.98
21,0.1
47,1.0
97,0.5
48,0.45
36,0.41
111,0.14
35,0.89
26,0.2
119,0.98
65,0.0
113,0.9
64,0.0
34,0.55
50,0.9
55,0.95
110,0.31
76,0.6
83,0.5
51,0.75
106,0.51
23,1.0
41,1.0
89,0.0
16,1.0
14,0.0
63,0.55
113,0.55
13,1.0
103,0.0
27,1.0
119,1.0
54,1.0
96,0.5
21,0.5
48,1.0
37,0.95
43,1.0
5,0.0
79,0.05
24,1.0
55,1.0
0,0.0
30,0.98
107,1.0
43,0.95
59,1.0
28,0.95
38,0.98
53,1.0
4,0.0
75,0.95
19,1.0
74,0.0
73,0.05
83,0.05
105,1.0
100,0.15
51,1.0
2,0.0
50,0.95
58,1.0
70,0.05
69,0.0
116,0.85
50,1.0
118,0.45
64,0.0
25,0.45
112,0.15
48,1.0
115,0.65
33,0.95
47,0.99
61,0.0
45,0.35
102,0.65
75,0.55
28,0.75
82,0.35
53,1.0
43,0.85
32,0.55
96,0.15
111,0.95
67,0.05
22,0.15
82,0.45
112,0.05
111,1.0
102,0.35
83,0.05
84,0.15
78,0.15
20,0.05
70,0.0
23,0.48
92,0.0
62,0.0
