comment,answer
84,0.45
110,0.35
14,0.45
74,0.45
116,0.45
111,0.55
118,0.75
28,0.45
37,0.75
101,0.55
29,0.35
108,0.45
39,0.35
88,0.45
60,0.05
89,0.35
30,0.55
12,0.25
32,0.05
98,0.45
113,0.45
20,0.35
45,0.55
82,0.45
14,0.09
45,0.78
22,0.16
17,0.07
50,0.06
86,0.06
61,0.17
23,0.08
18,0.07
80,0.08
5,0.15
35,0.48
25,0.0
88,0.15
12,0.05
106,0.07
95,0.06
48,0.48
87,0.18
85,0.07
69,0.06
77,0.29
47,0.38
49,0.97
80,0.03
113,0.59
82,0.37
111,0.37
84,0.03
61,0.02
23,0.47
70,0.02
39,0.57
83,0.08
8,0.13
116,0.98
100,0.33
58,0.69
104,0.43
92,0.49
10,0.43
85,0.04
90,0.14
56,0.92
117,0.88
16,0.14
14,0.01
114,0.0
45,0.55
9,0.0
66,0.45
75,0.15
8,0.05
37,0.35
62,0.15
43,0.65
95,0.45
56,0.65
72,0.0
30,0.27
81,0.35
7,0.15
105,0.45
20,0.0
35,0.45
32,0.35
82,0.35
50,0.55
46,0.65
3,0.05
71,0.0
8,0.0
47,0.99
118,0.95
36,0.85
45,0.91
76,0.71
21,0.81
43,0.8
49,0.85
11,0.85
83,0.45
53,0.98
107,0.91
19,0.65
101,0.95
84,0.51
92,0.85
32,0.75
4,0.0
113,0.98
56,0.98
34,0.95
77,0.71
94,0.71
36,0.07
17,0.19
119,0.67
56,0.8
84,0.12
14,0.0
48,0.5
86,0.87
68,0.12
57,0.8
109,0.78
73,0.13
83,0.08
39,0.28
107,0.67
61,0.0
113,0.87
37,0.57
35,0.08
88,0.14
58,1.0
55,0.5
69,0.18
116,0.98
66,0.3
55,0.85
20,0.5
98,0.9
46,0.8
9,0.3
87,0.8
56,0.8
0,0.3
40,0.8
31,0.75
60,0.2
29,0.5
105,0.85
4,0.1
85,0.9
61,0.2
17,0.7
81,0.7
99,0.6
12,0.1
8,0.1
95,0.9
65,0.1
90,0.15
90,0.15
49,0.05
49,0.05
75,0.05
75,0.05
74,0.05
74,0.05
95,0.55
95,0.55
4,0.0
4,0.0
106,0.95
106,0.95
38,0.75
38,0.75
109,0.15
109,0.15
9,0.0
9,0.0
24,0.0
24,0.0
51,0.85
51,0.85
19,0.0
19,0.0
116,0.95
116,0.95
0,0.0
0,0.0
29,0.05
29,0.05
34,0.05
34,0.05
12,0.0
12,0.0
111,0.65
111,0.65
64,0.0
64,0.0
84,0.15
84,0.15
15,0.0
15,0.0
92,0.75
92,0.75
20,0.05
20,0.05
5,0.0
3,0.0
100,1.0
66,0.31
17,0.15
95,0.9
38,1.0
9,0.0
46,1.0
