comment,answer
27,0.05
1,0.12
3,0.0
83,0.01
37,0.95
40,0.95
67,0.11
109,1.0
97,0.82
109,0.7
5,0.0
102,0.95
36,0.0
100,1.0
96,0.0
100,0.9
8,0.0
9,0.06
53,0.99
99,0.46
2,0.0
12,0.0
10,0.8
83,0.12
53,0.96
16,0.0
26,0.68
56,1.0
69,0.0
115,0.47
103,0.16
50,1.0
51,0.95
91,0.57
110,0.97
89,0.0
40,1.0
95,0.49
8,0.0
101,0.17
20,0.0
39,0.9
60,0.0
99,1.0
84,0.02
64,0.0
83,0.85
32,1.0
7,0.02
71,0.0
35,0.95
98,0.05
5,0.05
95,0.48
41,0.98
22,0.0
109,0.44
111,0.18
95,0.95
82,0.11
98,0.6
12,0.5
57,0.95
117,1.0
102,0.69
93,0.23
101,0.35
50,1.0
8,0.05
92,0.95
40,1.0
44,1.0
13,1.0
103,0.0
46,1.0
119,0.85
86,0.03
15,0.35
105,0.43
35,1.0
108,0.98
72,0.0
87,0.6
68,0.47
96,0.06
113,0.52
45,1.0
81,0.06
58,1.0
75,0.56
49,1.0
43,0.54
94,0.0
19,0.58
34,1.0
69,0.0
1,0.02
107,0.59
117,0.95
93,0.0
106,0.8
57,0.95
74,0.01
30,0.2
1,0.15
69,0.02
70,0.0
52,0.93
15,0.05
22,0.13
24,0.82
44,0.95
7,0.0
102,0.7
115,0.67
15,0.22
62,0.1
86,0.85
114,0.0
43,0.95
2,0.04
92,0.1
100,0.47
31,0.7
4,0.02
23,0.37
109,0.91
98,0.67
4,0.0
37,1.0
106,0.58
13,0.36
41,0.92
114,0.47
78,0.75
4,0.0
34,0.98
47,0.95
60,0.0
12,0.2
53,1.0
72,0.0
114,0.33
57,1.0
28,0.95
22,0.0
58,1.0
55,0.98
101,0.95
34,0.95
70,0.0
7,0.0
40,1.0
25,0.48
46,1.0
39,0.91
77,0.1
96,0.25
108,0.15
84,0.95
69,0.03
23,0.45
66,0.03
14,0.03
57,1.0
73,0.05
0,0.02
110,0.07
53,0.85
93,0.57
89,0.2
73,0.0
34,0.45
27,0.31
3,0.0
36,0.78
95,0.23
10,0.76
65,0.0
75,0.9
28,1.0
12,0.14
113,0.96
26,0.5
38,0.83
45,0.98
118,0.58
4,0.0
32,0.25
25,0.81
76,0.5
96,0.37
45,0.97
74,0.56
119,1.0
11,0.81
7,0.07
94,0.45
64,0.0
65,0.05
47,1.0
49,1.0
82,0.03
63,0.06
55,0.99
74,0.0
89,0.03
44,0.75
1,0.0
117,1.0
64,0.0
64,0.0
21,1.0
90,0.95
116,0.97
66,0.02
108,0.95
27,0.2
88,0.82
10,0.35
91,0.57
30,0.88
19,0.58
14,0.98
6,0.0
88,0.95
7,0.05
31,0.8
61,0.02
38,0.05
74,0.0
18,0.03
29,0.02
26,0.9
9,0.0
101,0.98
46,0.99
1,0.15
13,0.0
22,0.0
31,0.97
50,1.0
40,0.95
44,0.97
116,0.97
77,0.15
83,0.0
114,0.45
16,0.03
114,0.64
5,0.15
1,0.18
86,0.45
57,1.0
36,1.0
77,0.85
75,0.1
1,0.0
22,0.03
31,0.96
39,0.89
102,0.28
85,0.13
83,0.0
111,0.13
73,0.0
73,0.0
105,0.06
62,0.0
52,0.95
18,0.33
110,0.05
99,0.0
33,0.95
20,0.01
10,0.79
115,0.8
118,0.57
22,0.0
24,0.95
31,0.6
78,0.0
26,0.13
6,0.0
101,0.87
14,0.45
26,0.15
29,0.12
89,0.35
22,0.95
39,1.0
70,0.0
7,0.0
5,0.0
40,0.85
37,1.0
59,0.9
21,0.41
88,0.21
25,0.98
76,0.21
35,1.0
92,0.99
32,0.6
85,0.14
14,0.1
22,0.05
24,0.33
6,0.0
79,0.56
104,0.05
109,0.47
119,1.0
1,0.0
19,0.15
5,0.07
18,0.05
100,0.0
65,0.0
26,0.45
119,0.91
15,1.0
112,0.17
6,0.0
96,0.3
111,0.95
110,1.0
44,0.66
117,1.0
43,0.85
4,0.05
106,0.9
107,0.67
45,0.05
42,1.0
103,0.01
91,0.15
98,0.33
46,1.0
77,0.95
86,0.52
51,0.95
119,0.25
34,0.89
84,0.05
61,0.0
41,1.0
17,0.02
68,0.9
39,0.88
64,0.0
0,0.0
84,0.15
56,0.8
14,0.05
80,0.15
26,0.8
73,0.11
112,0.95
104,0.89
109,0.46
73,0.03
68,0.73
23,0.88
17,0.45
90,0.23
97,0.66
98,0.03
72,0.0
75,0.3
14,0.12
100,0.05
98,0.8
8,0.0
63,0.14
115,1.0
97,1.0
38,0.91
72,0.02
73,0.23
49,1.0
14,0.0
32,0.68
49,1.0
58,1.0
26,0.05
52,1.0
100,0.16
63,0.95
118,0.56
103,0.0
116,1.0
28,0.75
77,0.46
83,0.0
60,0.0
25,0.58
18,0.1
36,0.9
108,0.86
95,0.0
83,0.15
103,0.0
91,0.95
107,0.7
29,1.0
116,0.95
29,0.85
