comment,answer
115,0.55
25,0.37
33,0.9
2,0.1
4,0.0
30,0.45
43,0.9
44,0.9
5,0.05
46,1.0
27,0.25
16,0.25
71,0.16
92,0.81
116,0.99
61,0.1
114,0.15
9,0.1
41,0.68
95,0.25
11,0.4
23,0.75
76,0.55
56,0.89
64,0.0
57,0.68
65,0.0
50,0.68
92,0.06
93,0.28
72,0.0
53,0.98
90,0.05
104,0.18
38,1.0
71,0.0
15,0.05
9,0.0
46,1.0
23,0.15
116,1.0
82,0.04
102,0.56
97,0.58
48,1.0
55,1.0
35,1.0
59,0.58
19,0.0
24,0.85
45,0.25
96,0.65
8,0.0
67,0.2
33,0.93
43,0.95
91,0.15
89,0.1
34,0.65
61,0.1
42,0.95
1,0.05
117,0.83
110,0.2
81,0.87
111,0.68
94,0.03
78,0.69
79,0.2
15,0.55
100,0.09
80,0.87
33,0.25
28,0.7
100,0.8
69,0.39
19,0.29
5,0.0
36,0.5
119,0.31
46,0.7
49,0.8
84,0.15
108,0.51
80,0.29
89,0.2
62,0.0
51,0.68
109,0.7
60,0.0
58,0.58
96,0.49
38,0.29
76,0.43
68,0.27
95,0.9
108,0.25
51,0.95
35,0.98
83,0.05
44,0.95
91,0.0
79,0.05
99,0.1
112,0.4
85,0.0
90,0.1
10,0.9
106,0.2
94,0.15
70,0.0
95,0.11
30,0.95
11,0.95
63,0.1
105,0.1
100,0.15
52,0.91
39,0.65
2,0.0
39,0.51
107,0.27
71,0.0
115,0.28
64,0.2
47,0.9
29,0.21
20,0.06
59,0.33
18,0.03
72,0.03
103,0.04
69,0.06
108,0.13
48,0.49
57,0.9
14,0.16
34,0.7
83,0.08
105,0.07
49,0.78
3,0.14
40,0.83
74,0.02
99,0.46
7,0.0
8,0.04
117,0.63
78,0.11
87,0.52
43,0.86
75,0.53
67,0.05
66,0.03
95,0.55
24,0.64
112,0.65
34,0.88
56,0.8
49,0.86
36,0.95
41,0.87
69,0.0
39,0.9
58,0.87
63,0.55
94,0.14
53,0.95
71,0.0
63,0.0
61,0.0
67,0.0
90,0.01
86,0.9
8,0.0
101,1.0
16,0.0
46,1.0
28,0.0
116,0.99
7,0.5
36,0.03
119,0.96
30,0.99
115,0.94
55,1.0
59,1.0
104,0.53
54,0.98
103,0.0
37,0.99
77,0.01
66,0.05
41,0.95
28,0.95
0,0.0
114,0.0
14,0.0
73,0.05
102,0.35
6,0.0
78,0.15
75,0.45
87,0.25
106,0.55
2,0.0
84,0.35
49,0.55
56,0.55
22,0.35
92,0.55
40,0.55
37,0.85
55,0.95
60,0.0
63,0.0
33,0.7
112,0.11
86,0.3
24,0.3
65,0.0
91,0.01
35,0.99
6,0.0
104,0.37
90,0.21
14,0.01
76,0.17
82,0.21
102,0.7
111,0.41
20,0.11
61,0.1
72,0.0
4,0.0
109,0.16
103,0.01
34,1.0
66,0.04
73,0.01
83,0.85
6,0.51
99,0.85
75,0.85
18,0.16
31,0.95
25,0.17
118,0.95
39,0.65
98,0.15
47,0.85
37,0.95
17,0.15
34,0.85
102,0.75
11,0.95
1,0.15
30,0.98
35,0.85
62,0.15
93,0.85
59,0.95
74,0.55
12,0.65
81,0.32
29,0.17
73,0.08
35,0.9
117,0.99
39,0.49
69,0.05
40,0.98
25,0.71
3,0.69
6,0.0
51,0.98
76,0.48
50,0.97
45,0.98
101,0.97
65,0.05
83,0.71
27,0.17
10,0.15
88,0.86
18,0.09
87,0.68
1,0.0
66,0.0
54,1.0
83,0.15
85,0.05
69,0.85
93,0.55
88,0.35
111,1.0
89,0.55
53,1.0
48,1.0
98,0.0
82,0.1
110,0.45
115,1.0
33,0.95
22,0.15
50,1.0
102,0.95
7,0.0
23,0.85
99,0.85
78,0.55
37,1.0
26,0.98
99,0.58
64,0.17
52,1.0
32,0.88
69,0.57
29,0.88
47,1.0
23,0.98
42,1.0
55,0.48
17,0.99
5,0.59
44,0.89
112,0.88
66,0.89
101,1.0
54,0.87
81,0.76
83,0.88
20,0.47
12,0.88
30,0.88
60,0.58
49,0.84
97,0.92
89,0.11
80,0.78
96,0.17
101,0.33
100,0.06
28,0.93
84,0.5
95,0.66
58,0.98
69,0.06
108,0.57
46,0.99
36,0.47
109,0.28
60,0.0
113,0.47
55,0.9
33,0.93
76,0.16
62,0.0
19,0.48
40,0.99
71,0.0
86,0.42
13,0.0
30,1.0
20,0.05
0,0.0
52,0.8
104,0.2
88,0.31
12,0.0
32,0.0
18,0.0
110,0.75
22,0.08
4,0.0
15,0.0
26,0.0
103,1.0
90,0.53
118,0.5
21,0.05
95,0.05
106,0.25
70,0.15
39,0.95
24,0.68
21,0.1
63,0.29
105,0.95
52,0.15
11,0.0
72,0.0
19,0.57
65,0.02
112,0.02
25,0.55
79,0.0
107,0.05
3,0.0
23,0.45
75,0.45
41,0.0
58,1.0
70,0.02
118,0.03
94,0.0
111,0.05
10,0.0
41,0.88
26,0.06
32,0.59
24,0.97
3,0.03
67,0.05
98,0.02
13,0.19
30,0.59
109,0.35
65,0.02
21,0.36
18,0.13
11,0.72
27,0.0
80,0.56
57,0.68
73,0.01
88,0.26
107,0.56
47,0.98
20,0.48
45,0.43
62,0.0
17,0.0
28,0.25
117,0.91
6,0.0
56,0.8
106,0.15
32,0.1
11,0.77
79,0.0
95,0.0
38,0.88
72,0.0
65,0.0
62,0.0
81,0.05
52,0.98
105,0.15
101,0.65
57,0.95
77,0.18
82,0.0
97,0.6
22,0.07
61,0.0
41,0.65
30,0.65
58,0.85
3,0.0
47,0.95
13,0.25
36,0.85
31,0.95
15,0.0
102,0.55
42,0.85
6,0.0
86,0.15
59,0.85
94,0.15
54,0.85
92,0.35
11,0.25
23,0.27
115,0.75
90,0.35
10,0.05
43,0.85
7,0.0
68,0.68
93,0.2
83,0.6
19,0.5
80,0.39
44,0.87
81,0.6
94,0.5
101,0.76
40,1.0
1,0.0
99,0.68
88,0.56
111,0.75
66,0.2
84,0.8
115,0.66
114,0.9
118,0.76
9,0.0
70,0.17
45,0.9
82,0.3
50,0.8
18,0.25
94,0.45
83,0.25
119,0.97
54,0.96
0,0.05
87,0.45
100,0.8
13,0.55
9,0.05
29,0.32
116,0.87
82,0.05
93,0.8
88,0.77
25,0.15
64,0.05
80,0.75
27,0.15
53,0.97
1,0.05
110,0.75
113,0.85
69,0.05
51,0.6
33,0.05
60,0.3
95,0.55
96,0.17
46,0.95
84,0.45
89,0.2
101,0.15
76,0.23
113,0.45
69,0.45
49,0.55
5,0.01
19,0.95
41,0.15
100,0.55
80,0.33
36,0.65
109,0.85
108,0.3
97,0.95
28,0.15
55,0.29
108,0.9
51,0.16
43,0.9
35,0.95
53,1.0
4,0.0
75,0.75
0,0.0
79,0.35
103,0.11
22,0.4
15,0.0
47,1.0
13,0.47
94,0.15
98,0.1
62,0.0
118,0.65
23,0.5
65,0.0
39,0.7
106,0.95
77,0.05
82,0.0
35,0.86
118,0.38
97,0.6
56,0.6
14,0.02
87,0.99
40,0.6
32,0.15
113,0.6
42,0.99
7,0.17
104,0.3
78,0.3
64,0.02
85,0.27
103,0.15
27,0.25
74,0.16
53,0.99
70,0.3
31,0.8
109,0.22
38,0.5
34,0.91
36,0.95
36,0.95
33,0.9
33,0.9
46,0.99
46,0.99
113,0.9
113,0.9
28,0.4
28,0.4
19,0.5
19,0.5
60,0.0
60,0.0
41,0.85
41,0.85
69,0.7
69,0.7
5,0.0
5,0.0
100,0.45
100,0.45
89,0.1
89,0.1
119,0.91
119,0.91
49,0.99
49,0.99
108,0.72
108,0.72
62,0.0
62,0.0
96,0.25
96,0.25
38,0.52
38,0.52
76,0.05
76,0.05
80,0.55
80,0.55
84,0.52
84,0.52
58,1.0
58,1.0
97,0.65
97,0.65
95,0.61
95,0.61
108,0.89
38,1.0
62,0.03
55,1.0
40,1.0
41,0.85
46,1.0
49,1.0
33,0.99
5,0.0
95,0.88
96,0.05
97,0.79
119,1.0
100,1.0
109,0.9
69,0.76
80,0.45
89,0.98
58,0.9
19,0.55
76,0.96
68,0.85
101,0.95
71,0.0
43,1.0
110,0.18
78,0.0
20,0.0
34,0.96
96,0.0
39,0.9
87,0.88
95,0.33
25,0.83
68,0.45
8,0.0
18,0.0
60,0.0
74,0.0
97,0.88
12,0.0
85,0.0
82,0.1
93,0.05
50,1.0
114,0.0
26,0.65
101,0.97
58,0.95
33,0.95
36,0.93
49,0.93
62,0.25
68,0.55
84,0.28
55,0.97
5,0.14
76,0.58
97,0.92
46,0.95
108,0.76
109,0.83
28,0.77
41,0.88
95,0.53
89,0.49
69,0.45
113,0.87
80,0.89
119,0.97
100,0.77
62,0.06
100,0.31
41,0.51
96,0.26
89,0.06
58,0.8
36,0.86
28,0.51
51,0.77
109,0.8
5,0.03
68,0.21
38,0.6
113,0.73
49,0.87
60,0.11
40,0.88
84,0.24
97,0.55
55,0.64
69,0.1
101,0.5
119,0.44
33,0.74
19,0.88
47,1.0
118,0.88
84,0.75
6,0.0
94,0.6
37,1.0
87,1.0
17,0.7
105,0.8
12,0.0
0,0.0
66,0.55
107,0.98
95,0.8
63,0.0
57,1.0
29,0.04
115,1.0
18,0.76
68,0.72
45,1.0
1,0.0
48,1.0
48,0.96
11,0.68
7,0.02
51,0.49
96,0.43
103,0.06
25,0.56
67,0.14
45,0.56
85,0.15
27,0.51
71,0.13
95,0.3
54,0.92
30,0.81
94,0.27
86,0.37
89,0.16
81,0.18
42,0.89
15,0.28
2,0.06
9,0.28
113,0.8
117,0.52
44,0.18
4,0.0
76,0.02
81,0.06
95,0.0
86,0.21
59,0.6
34,0.42
21,0.09
41,0.2
114,0.89
8,0.0
10,0.0
28,0.03
69,0.08
23,0.3
46,0.88
106,0.0
56,0.53
119,0.13
113,0.17
91,0.2
2,0.0
104,0.77
40,0.86
81,0.68
98,0.24
14,0.44
17,0.55
107,0.63
13,0.58
73,0.25
109,0.95
88,0.86
49,0.99
66,0.15
16,0.69
1,0.15
119,0.68
79,0.15
91,0.35
7,0.0
90,0.26
34,0.88
74,0.66
41,0.85
44,0.57
78,0.9
92,0.6
41,1.0
116,1.0
7,0.0
86,0.25
77,0.1
23,0.5
8,0.0
6,0.0
93,0.75
96,0.05
71,0.1
9,0.0
30,1.0
16,0.12
60,0.0
45,0.75
42,1.0
90,0.25
34,1.0
47,1.0
102,0.9
114,0.9
38,0.63
75,0.77
9,0.0
89,0.46
119,0.98
26,0.53
79,0.34
64,0.0
73,0.04
113,0.78
77,0.1
24,0.66
83,0.67
118,0.97
40,0.68
15,0.06
31,0.98
94,0.71
115,0.9
18,0.17
105,0.78
34,0.99
78,0.69
14,0.07
27,0.05
116,0.81
59,0.9
8,0.17
47,0.9
87,0.81
83,0.9
71,0.15
36,0.9
95,0.5
14,0.81
21,0.71
31,0.81
78,0.1
