comment,answer
26,0.69
26,0.69
84,0.6
84,0.6
44,0.72
44,0.72
9,0.0
9,0.0
109,0.99
109,0.99
95,0.95
95,0.95
51,0.56
85,0.78
8,0.15
61,0.25
30,0.03
67,0.06
103,0.27
54,0.27
44,0.88
108,0.85
36,0.17
116,0.92
119,0.75
19,0.05
75,0.43
72,0.25
18,0.06
113,0.75
50,0.84
96,0.55
76,0.33
45,0.45
82,0.15
17,0.22
35,0.75
40,0.85
2,0.45
90,0.55
97,0.35
71,0.45
6,0.45
110,0.45
112,0.75
7,0.55
44,0.55
52,0.55
114,0.55
70,0.75
93,0.75
102,0.45
115,0.55
65,0.45
77,0.45
63,0.55
13,0.55
75,0.45
31,0.45
84,0.55
25,0.55
74,0.25
38,0.45
81,0.0
10,0.05
17,0.45
55,0.85
4,0.05
75,0.65
34,0.15
119,0.65
31,0.15
8,0.0
83,0.75
3,0.05
54,0.85
27,0.15
109,0.65
98,0.85
52,0.85
93,0.15
63,0.0
115,0.95
18,0.05
23,0.65
104,0.45
46,0.35
59,0.33
74,0.25
69,0.15
3,0.45
81,0.45
19,0.45
38,0.45
56,0.35
64,0.15
77,0.15
27,0.25
112,0.35
45,0.45
92,0.45
87,0.35
70,0.45
90,0.25
65,0.02
49,0.45
60,0.05
14,0.55
43,1.0
43,1.0
53,0.99
53,0.99
56,0.99
56,0.99
74,1.0
74,1.0
7,0.0
7,0.0
48,1.0
48,1.0
27,0.99
27,0.99
18,0.98
18,0.98
42,1.0
42,1.0
78,0.9
78,0.9
76,0.88
76,0.88
24,1.0
24,1.0
2,0.0
2,0.0
69,1.0
69,1.0
60,0.0
60,0.0
20,1.0
20,1.0
31,1.0
31,1.0
82,0.9
82,0.9
93,1.0
93,1.0
106,1.0
106,1.0
4,0.0
4,0.0
9,0.0
9,0.0
83,0.99
83,0.99
33,1.0
33,1.0
5,0.25
4,0.2
63,0.2
51,0.5
1,0.25
70,0.1
57,0.65
46,0.4
13,0.15
81,0.75
69,0.45
96,0.85
53,0.6
43,0.1
86,0.75
116,0.8
44,0.5
39,0.25
15,0.21
6,0.25
111,0.75
11,0.3
75,0.35
115,0.7
5,0.0
20,0.41
108,0.95
18,0.2
3,0.1
57,0.65
8,0.2
92,0.91
19,0.0
32,0.17
97,0.51
82,0.3
61,0.25
25,0.0
91,0.25
38,0.2
111,0.6
35,0.28
29,0.05
116,0.91
94,0.41
47,0.51
17,0.2
81,0.7
89,0.94
82,0.87
67,0.64
81,0.5
14,0.99
100,0.79
111,0.48
39,0.1
7,0.9
20,0.0
75,0.35
117,1.0
53,0.28
105,0.69
66,0.5
88,0.13
49,0.15
37,0.15
114,0.28
118,0.95
91,0.7
4,0.5
112,1.0
12,0.5
30,0.85
102,0.85
1,0.05
95,0.9
58,0.95
71,0.0
46,0.95
28,0.85
87,0.85
23,0.55
69,0.95
117,0.95
80,0.5
18,0.45
16,0.5
53,0.95
5,0.0
39,0.55
111,0.95
43,0.95
79,0.05
59,0.9
96,0.05
50,0.85
18,0.03
118,0.49
54,0.59
65,0.11
48,0.48
98,0.13
56,0.12
27,0.23
109,0.69
85,0.57
92,0.66
114,0.68
22,0.07
108,0.08
15,0.47
115,0.38
61,0.31
3,0.06
2,0.0
55,0.26
13,0.6
8,0.08
40,0.42
77,0.48
20,0.32
107,0.77
88,0.5
102,0.54
95,0.37
66,0.03
30,0.14
80,0.37
79,0.92
26,0.27
6,0.69
56,0.89
64,0.03
38,0.46
