workerId,comment,answer,race,age,gender,politic
CpRmgBdw,114,1,White,36,Female,Democrat
CpRmgBdw,19,-1,White,36,Female,Democrat
CpRmgBdw,27,-1,White,36,Female,Democrat
CpRmgBdw,60,-1,White,36,Female,Democrat
CpRmgBdw,87,1,White,36,Female,Democrat
CpRmgBdw,50,1,White,36,Female,Democrat
CpRmgBdw,3,-1,White,36,Female,Democrat
CpRmgBdw,85,-1,White,36,Female,Democrat
CpRmgBdw,109,1,White,36,Female,Democrat
CpRmgBdw,41,1,White,36,Female,Democrat
CpRmgBdw,6,-1,White,36,Female,Democrat
CpRmgBdw,73,-1,White,36,Female,Democrat
CpRmgBdw,106,1,White,36,Female,Democrat
CpRmgBdw,63,-1,White,36,Female,Democrat
CpRmgBdw,76,1,White,36,Female,Democrat
CpRmgBdw,119,1,White,36,Female,Democrat
CpRmgBdw,26,1,White,36,Female,Democrat
CpRmgBdw,16,-1,White,36,Female,Democrat
CpRmgBdw,93,1,White,36,Female,Democrat
CpRmgBdw,31,1,White,36,Female,Democrat
CpRmgBdw,49,1,White,36,Female,Democrat
CpRmgBdw,33,1,White,36,Female,Democrat
CpRmgBdw,97,1,White,36,Female,Democrat
CpRmgBdw,58,1,White,36,Female,Democrat
A7cci0oZ,2,-1,White,60,Female,Republican
A7cci0oZ,31,1,White,60,Female,Republican
A7cci0oZ,102,1,White,60,Female,Republican
A7cci0oZ,77,1,White,60,Female,Republican
A7cci0oZ,52,1,White,60,Female,Republican
A7cci0oZ,34,1,White,60,Female,Republican
A7cci0oZ,112,1,White,60,Female,Republican
A7cci0oZ,20,1,White,60,Female,Republican
A7cci0oZ,95,1,White,60,Female,Republican
A7cci0oZ,21,1,White,60,Female,Republican
A7cci0oZ,42,1,White,60,Female,Republican
A7cci0oZ,19,1,White,60,Female,Republican
A7cci0oZ,116,1,White,60,Female,Republican
A7cci0oZ,69,1,White,60,Female,Republican
A7cci0oZ,91,-1,White,60,Female,Republican
A7cci0oZ,4,-1,White,60,Female,Republican
A7cci0oZ,85,-1,White,60,Female,Republican
A7cci0oZ,60,-1,White,60,Female,Republican
A7cci0oZ,109,1,White,60,Female,Republican
A7cci0oZ,16,-1,White,60,Female,Republican
A7cci0oZ,81,-1,White,60,Female,Republican
A7cci0oZ,72,-1,White,60,Female,Republican
A7cci0oZ,59,1,White,60,Female,Republican
A7cci0oZ,43,1,White,60,Female,Republican
or3zCvp6,25,1,White,72,Female,Republican
or3zCvp6,64,-1,White,72,Female,Republican
or3zCvp6,51,1,White,72,Female,Republican
or3zCvp6,7,-1,White,72,Female,Republican
or3zCvp6,112,1,White,72,Female,Republican
or3zCvp6,24,1,White,72,Female,Republican
or3zCvp6,87,1,White,72,Female,Republican
or3zCvp6,30,1,White,72,Female,Republican
or3zCvp6,12,-1,White,72,Female,Republican
or3zCvp6,59,1,White,72,Female,Republican
or3zCvp6,110,1,White,72,Female,Republican
or3zCvp6,44,1,White,72,Female,Republican
or3zCvp6,105,1,White,72,Female,Republican
or3zCvp6,5,-1,White,72,Female,Republican
or3zCvp6,72,-1,White,72,Female,Republican
or3zCvp6,90,1,White,72,Female,Republican
or3zCvp6,74,1,White,72,Female,Republican
or3zCvp6,107,1,White,72,Female,Republican
